stamp,container_pose_x,container_pose_y,container_pose_z,container_pose_roll,container_pose_pitch,container_pose_yaw,container_updated_pose_x,container_updated_pose_y,container_updated_pose_z,container_updated_pose_roll,container_updated_pose_pitch,container_updated_pose_yaw,qc_match_updated_k_x,qc_match_updated_k_y,b_outlier,time_length
1716205391.499738,1364.383890,524.083093,0.005429,0.030568,-0.003190,0.006371,1364.401273,524.070750,0.005102,0.030476,-0.003049,0.001725,0.150000,0.150000,0,0.030204
1716205391.699724,1364.365667,524.083572,0.005468,0.030580,-0.003207,0.006534,1364.401303,524.099134,0.005130,0.030484,-0.003060,0.001725,0.150000,0.150000,0,0.033410
1716205391.899709,1364.370300,524.084466,0.005415,0.030562,-0.003186,0.006460,1364.401381,524.095927,0.005084,0.030468,-0.003042,0.001743,0.150000,0.150000,0,0.032548
1716205392.099706,1364.364508,524.084296,0.005411,0.030543,-0.003198,0.006529,1364.401528,524.093194,0.005076,0.030448,-0.003053,0.001758,0.150000,0.150000,0,0.029518
1716205392.199717,1364.363444,524.084361,0.005374,0.030534,-0.003181,0.006413,1364.401628,524.090877,0.005048,0.030442,-0.003039,0.001769,0.150000,0.150000,0,0.029847
1716205392.399730,1364.363345,524.085648,0.005399,0.030540,-0.003192,0.006380,1364.401904,524.089202,0.005075,0.030449,-0.003051,0.001772,0.150000,0.150000,0,0.033831
1716205392.599736,1364.362281,524.080361,0.005395,0.030536,-0.003193,0.006467,1364.402312,524.091402,0.005065,0.030443,-0.003049,0.001764,0.150000,0.150000,0,0.033096
1716205392.799740,1364.381655,524.079290,0.005386,0.030523,-0.003197,0.006481,1364.400111,524.088570,0.005055,0.030429,-0.003053,0.001768,0.150000,0.150000,0,0.037523
1716205392.999724,1364.392032,524.081247,0.005392,0.030529,-0.003196,0.006377,1364.399813,524.086515,0.005069,0.030438,-0.003056,0.001776,0.150000,0.150000,0,0.032890
1716205393.199716,1364.367324,524.083216,0.005372,0.030501,-0.003204,0.006585,1364.400037,524.085053,0.005035,0.030406,-0.003058,0.001777,0.150000,0.150000,0,0.030407
1716205393.399715,1364.363936,524.084234,0.005355,0.030510,-0.003187,0.006398,1364.400343,524.084087,0.005031,0.030418,-0.003046,0.001786,0.150000,0.150000,0,0.034029
1716205393.599696,1364.402230,524.080353,0.005295,0.030492,-0.003161,0.006608,1364.401840,524.082793,0.004958,0.030397,-0.003015,0.001797,0.150000,0.150000,0,0.032157
1716205393.799702,1364.419619,524.082193,0.005327,0.030506,-0.003172,0.006488,1364.405514,524.081785,0.004996,0.030412,-0.003028,0.001781,0.150000,0.150000,0,0.033535
1716205393.999715,1364.415909,524.083648,0.005313,0.030491,-0.003174,0.006522,1364.407980,524.081046,0.004979,0.030397,-0.003029,0.001771,0.150000,0.150000,0,0.032900
1716205394.199712,1364.371535,524.083355,0.005298,0.030487,-0.003167,0.006388,1364.408072,524.080477,0.004974,0.030395,-0.003026,0.001762,0.150000,0.150000,0,0.032467
1716205394.299718,1364.391366,524.078330,0.005283,0.030477,-0.003165,0.006410,1364.406429,524.079192,0.004958,0.030385,-0.003024,0.001772,0.150000,0.150000,0,0.031668
1716205394.499734,1364.384710,524.081848,0.005311,0.030502,-0.003165,0.006534,1364.406670,524.078651,0.004975,0.030406,-0.003019,0.001748,0.150000,0.150000,0,0.034041
1716205394.699747,1364.396329,524.079891,0.005312,0.030501,-0.003166,0.006626,1364.406227,524.078048,0.004971,0.030405,-0.003017,0.001758,0.150000,0.150000,0,0.037776
1716205394.899750,1364.370686,524.083205,0.005278,0.030493,-0.003149,0.006532,1364.406364,524.077884,0.004944,0.030398,-0.003004,0.001771,0.150000,0.150000,0,0.034122
1716205395.099732,1364.382377,524.082531,0.005333,0.030521,-0.003164,0.006419,1364.403669,524.077549,0.005007,0.030429,-0.003022,0.001765,0.150000,0.150000,0,0.035355
1716205395.299746,1364.364968,524.081346,0.005285,0.030522,-0.003132,0.006535,1364.403815,524.077090,0.004949,0.030427,-0.002986,0.001764,0.150000,0.150000,0,0.032186
1716205395.499724,1364.379893,524.083400,0.005313,0.030540,-0.003136,0.006408,1364.401222,524.077056,0.004987,0.030448,-0.002995,0.001770,0.150000,0.150000,0,0.034012
1716205395.699728,1364.397623,524.083058,0.005305,0.030523,-0.003144,0.006447,1364.401759,524.077029,0.004977,0.030430,-0.003002,0.001788,0.150000,0.150000,0,0.033859
1716205395.899703,1364.385871,524.083928,0.005325,0.030531,-0.003151,0.006396,1364.400339,524.077022,0.004999,0.030439,-0.003009,0.001755,0.150000,0.150000,0,0.041328
1716205396.099692,1364.365438,524.084924,0.005346,0.030521,-0.003173,0.006359,1364.400400,524.077208,0.005024,0.030429,-0.003033,0.001762,0.150000,0.150000,0,0.032596
1716205396.299722,1364.361553,524.082692,0.005361,0.030509,-0.003191,0.006521,1364.400503,524.076973,0.005027,0.030415,-0.003046,0.001756,0.150000,0.150000,0,0.031238
1716205396.399720,1364.362042,524.082804,0.005347,0.030504,-0.003186,0.006500,1364.400563,524.076851,0.005014,0.030410,-0.003041,0.001754,0.150000,0.150000,0,0.032288
1716205396.599730,1364.376878,524.082075,0.005328,0.030496,-0.003179,0.006390,1364.400697,524.076844,0.005002,0.030404,-0.003038,0.001750,0.150000,0.150000,0,0.045873
1716205396.799748,1364.373478,524.073028,0.005356,0.030489,-0.003203,0.006430,1364.400884,524.076973,0.005025,0.030395,-0.003060,0.001713,0.028430,0.028430,0,0.032751
1716205396.999743,1364.355260,524.083722,0.005366,0.030522,-0.003184,0.006369,1364.400991,524.077207,0.005039,0.030430,-0.003043,0.001721,0.150000,0.150000,0,0.033286
