stamp,gnss_x,gnss_y,gnss_z,gnss_roll,gnss_pitch,gnss_yaw,gnss_map_vx,gnss_map_vy,gnss_map_vz,gnss_base_vx,gnss_base_vy,gnss_base_vz,gnss_status,gnss_fsm_status,gnss_original_status
1716181090.151553,1001.401664,565.097769,-0.001191,0.022904,-0.004732,0.002057,-0.000727,0.000045,-0.001200,-0.000705,0.000014,-0.001214,1,1,1
1716181090.351542,1001.401511,565.097814,-0.001167,0.022932,-0.004726,0.002045,-0.000953,0.000610,-0.001600,-0.000926,0.000568,-0.001631,1,1,1
1716181090.551528,1001.401618,565.097958,-0.001160,0.022942,-0.004723,0.002040,-0.000617,0.000479,-0.001800,-0.000586,0.000434,-0.001821,1,1,1
1716181090.751528,1001.401760,565.098114,-0.001145,0.022928,-0.004743,0.002035,-0.000650,0.000164,-0.001100,-0.000631,0.000136,-0.001115,1,1,1
1716181090.951523,1001.401928,565.098294,-0.001176,0.022910,-0.004737,0.002016,-0.000605,0.000891,-0.001100,-0.000589,0.000862,-0.001131,1,1,1
1716181091.151576,1001.401905,565.098498,-0.001131,0.022934,-0.004748,0.002031,-0.000474,0.001227,-0.000700,-0.000467,0.001208,-0.000736,1,1,1
1716181091.351596,1001.401869,565.098717,-0.001146,0.022945,-0.004730,0.002035,0.000219,0.000867,-0.000900,0.000231,0.000848,-0.000915,1,1,1
1716181091.551588,1001.402756,565.098543,-0.001151,0.022951,-0.004722,0.002033,0.000674,0.000660,-0.000300,0.000676,0.000656,-0.000303,1,1,1
1716181091.751584,1001.403579,565.098304,-0.001161,0.022953,-0.004714,0.002032,0.000770,-0.000241,0.000500,0.000761,-0.000225,0.000519,1,1,1
1716181091.951754,1001.404429,565.098032,-0.001146,0.022958,-0.004721,0.002021,0.001713,-0.000340,0.000700,0.001701,-0.000315,0.000739,1,1,1
1716181092.151809,1001.405000,565.097829,-0.001160,0.022953,-0.004714,0.001992,0.002070,-0.000569,-0.000100,0.002075,-0.000560,-0.000049,1,1,1
1716181092.351880,1001.405426,565.097749,-0.001163,0.022964,-0.004705,0.001992,0.002027,-0.000374,-0.000100,0.002031,-0.000365,-0.000054,1,1,1
1716181092.551848,1001.405213,565.097466,-0.001110,0.022987,-0.004722,0.002002,0.001994,-0.000688,-0.000300,0.002003,-0.000684,-0.000248,1,1,1
1716181092.751817,1001.404984,565.097250,-0.001119,0.022979,-0.004722,0.002035,0.001549,-0.000991,-0.000700,0.001566,-0.000998,-0.000649,1,1,1
1716181092.951792,1001.404760,565.096943,-0.001160,0.022966,-0.004705,0.002031,0.001353,-0.001034,-0.000900,0.001375,-0.001047,-0.000851,1,1,1
1716181093.151819,1001.404829,565.096682,-0.001169,0.022956,-0.004706,0.002036,0.001308,-0.001760,-0.000300,0.001322,-0.001760,-0.000236,1,1,1
1716181093.351800,1001.404995,565.096335,-0.001140,0.022970,-0.004715,0.002038,0.001005,-0.001315,-0.000500,0.001021,-0.001321,-0.000451,1,1,1
1716181093.551776,1001.404327,565.096001,-0.001108,0.022980,-0.004728,0.002045,0.000570,-0.002127,0.000000,0.000580,-0.002124,0.000059,1,1,1
1716181093.751761,1001.403646,565.095592,-0.001098,0.022997,-0.004722,0.002045,0.000091,-0.002744,0.001100,0.000084,-0.002718,0.001164,1,1,1
1716181093.951749,1001.402982,565.095099,-0.001108,0.022985,-0.004724,0.002024,-0.000767,-0.003035,0.000500,-0.000761,-0.003027,0.000555,1,1,1
1716181094.151757,1001.402667,565.094637,-0.001084,0.022993,-0.004734,0.002036,-0.000841,-0.002232,0.001300,-0.000854,-0.002206,0.001335,1,1,1
1716181094.351734,1001.402552,565.094103,-0.001060,0.023004,-0.004741,0.002039,-0.000636,-0.002699,0.001400,-0.000648,-0.002670,0.001450,1,1,1
1716181094.551709,1001.402165,565.095249,-0.001092,0.022983,-0.004736,0.002060,-0.001003,-0.001961,0.001900,-0.001028,-0.001922,0.001926,1,1,1
1716181094.751697,1001.401755,565.096302,-0.001101,0.022971,-0.004740,0.002052,-0.001770,-0.000798,0.002300,-0.001808,-0.000755,0.002285,1,1,1
