stamp,optimized_pose_x,optimized_pose_y,optimized_pose_yaw
1716026889.599762,885.036625,451.835022,1.299240
1716026889.799738,885.090648,452.303260,1.302281
1716026889.999752,885.229136,452.700087,1.309094
1716026890.199751,885.319907,453.101768,1.314224
1716026890.399730,885.412425,453.508824,1.307050
1716026890.799733,885.656009,454.274723,1.307998
1716026890.899713,885.705340,454.499486,1.309723
1716026891.099715,885.807668,454.848955,1.305205
1716026891.299774,885.936103,455.267408,1.309977
1716026891.499761,886.041447,455.653183,1.303532
1716026891.699677,886.151025,456.000526,1.290221
1716026892.699634,886.702138,457.958481,1.299982
1716026892.899614,886.677971,458.359384,1.288830
1716026892.999620,886.737095,458.557915,1.303664
1716026893.199687,886.866269,459.042126,1.292096
1716026893.599743,887.355524,460.020068,1.290158
1716026893.799788,887.451980,460.541316,1.303693
1716026893.999785,887.605946,461.032346,1.302548
1716026894.199693,887.733031,461.510465,1.309992
1716026894.399631,887.876993,462.005289,1.328712
1716026894.599626,888.077532,462.402186,1.315278
1716026894.799619,888.183491,462.813148,1.312828
1716026894.999678,888.243850,463.141956,1.316380
1716026895.099719,888.253983,463.354550,1.343345
1716026895.299766,888.379068,463.587335,1.325428
1716026895.499722,888.376323,463.881143,1.318898
1716026895.699717,888.476564,464.170765,1.315562
1716026895.899743,888.558873,464.466469,1.319144
1716026896.099730,888.642680,464.818728,1.318554
1716026896.299720,888.799743,465.118626,1.317999
1716026896.499724,888.859238,465.407790,1.338303
1716026896.699709,888.921977,465.620285,1.318774
1716026896.899681,888.973103,465.831365,1.327689
1716026897.099678,889.037967,466.000437,1.352784
1716026897.199672,889.051315,466.017995,1.335471
1716026897.399659,889.068890,466.088442,1.334526
1716026897.599695,888.971028,466.092870,1.333571
1716026897.799740,889.088110,466.058369,1.350801
1716026897.999705,889.087681,466.048702,1.335002
1716026898.199647,889.033361,466.084602,1.316977
1716026898.399643,888.967668,466.089757,1.337203
1716026898.599653,889.090740,466.081027,1.337368
1716026898.799659,888.962138,466.092273,1.331540
1716026898.999697,888.990494,466.071199,1.334231
1716026899.199718,888.948048,466.072945,1.308757
1716026899.299717,889.081001,466.061450,1.343853
1716026899.499703,888.980397,466.084432,1.301223
1716026899.699734,889.044876,466.059783,1.339897
1716026899.899748,889.032455,466.094394,1.342536
1716026900.099728,888.970174,466.088061,1.335299
1716026900.299709,889.010105,466.061515,1.336094
1716026900.499767,889.010121,466.047157,1.334850
1716026900.699751,889.010462,466.056991,1.335476
1716026900.899736,889.019397,466.062205,1.337405
1716026901.099713,888.978707,466.048856,1.333019
1716026901.299655,889.035252,466.059732,1.298315
1716026901.399641,888.999786,466.055348,1.333572
1716026901.599659,888.997747,466.069466,1.333101
1716026901.799685,888.910231,466.047141,1.319043
1716026901.999678,888.987339,466.066244,1.341489
1716026902.199680,889.086188,466.055364,1.321489
1716026902.399699,889.013898,466.047689,1.333552
1716026902.599729,889.077747,466.070685,1.342431
1716026902.799737,888.947343,466.034608,1.334028
1716026902.999703,889.002898,466.057919,1.337591
1716026903.199687,888.970090,466.066762,1.332275
1716026903.399691,888.944696,466.050276,1.301722
1716026903.499705,888.979394,466.037011,1.344729
1716026903.699762,889.079203,466.061568,1.351229
1716026903.899754,888.987291,466.076621,1.335029
1716026904.099702,889.026095,466.072542,1.339435
1716026904.299731,889.019169,466.080057,1.341449
1716026904.499764,888.994935,466.047184,1.338852
1716026904.699738,888.982432,466.043240,1.333868
1716026904.899722,889.001751,466.080895,1.355026
1716026905.099696,888.944984,466.068592,1.331283
1716026905.299691,888.982747,466.050991,1.338768
1716026905.499721,888.929506,466.052025,1.263843
1716026905.599746,888.916392,466.052197,1.332009
1716026909.999719,888.880023,466.075493,1.338852
1716026910.199729,888.880019,466.071173,1.329776
1716026910.399711,888.918889,466.060552,1.333849
1716026910.599707,888.938590,466.075359,1.325227
1716026910.799726,888.956337,466.071392,1.342053
1716026910.999714,889.000106,466.058003,1.343981
1716026911.199645,889.105891,466.063359,1.347593
1716026911.399625,889.023102,466.070669,1.338805
1716026911.599654,889.063484,466.118023,1.345614
1716026911.799644,889.022660,466.136799,1.338162
1716026911.899651,889.037792,466.163737,1.344793
1716026912.099711,889.005149,466.177066,1.337317
1716026912.299741,889.028554,466.231766,1.331596
1716026912.499752,889.006530,466.328937,1.337694
1716026912.699764,889.003011,466.388991,1.339191
1716026912.899751,889.088019,466.493910,1.337290
1716026913.099721,889.112462,466.684160,1.344400
1716026913.299708,889.123819,466.873638,1.342447
1716026913.499700,889.163498,467.075747,1.343027
1716026913.699699,889.239991,467.322709,1.350283
1716026913.899723,889.356892,467.582961,1.371630
1716026913.999739,889.321490,467.712613,1.341969
1716026914.199763,889.439701,468.005255,1.355414
1716026914.399716,889.494333,468.343669,1.360559
1716026914.599717,889.571094,468.687178,1.371149
1716026914.799736,889.719465,469.071541,1.376672
1716026914.999726,889.811740,469.453590,1.379502
1716026915.199721,889.878569,469.867574,1.386819
1716026915.399734,889.964976,470.331884,1.388151
1716026915.599714,890.092258,470.792353,1.394781
1716026915.799727,890.131641,471.287724,1.405695
1716026915.999755,890.267327,471.811942,1.418087
1716026916.099768,890.291961,472.079105,1.420024
1716026916.299735,890.370331,472.606845,1.438392
1716026916.499674,890.387349,473.126503,1.365495
1716026919.199710,890.833316,480.035587,1.588490
1716026919.399709,890.877805,480.606550,1.606086
1716026919.599649,890.821947,481.195053,1.601113
1716026919.799649,890.833410,481.785634,1.609700
1716026919.999677,890.817316,482.340010,1.600213
1716026920.199717,890.807739,482.962001,1.592782
1716026920.299730,890.809836,483.284624,1.593210
1716026920.499759,890.808526,483.887345,1.585879
1716026920.699736,890.808873,484.559149,1.597044
1716026920.899745,890.809987,485.182619,1.590458
1716026921.099736,890.801147,485.868013,1.592420
1716026921.299719,890.783442,486.507754,1.585678
1716026921.499707,890.768970,487.200021,1.590737
1716026921.699709,890.781699,487.913820,1.584391
1716026921.899729,890.746887,488.605933,1.615570
1716026922.099710,890.753182,489.343421,1.590924
1716026922.299647,890.763438,490.051553,1.593926
1716026922.399637,890.720157,490.413975,1.587788
1716026922.599681,890.753701,491.155966,1.605214
1716026922.799733,890.749776,491.922277,1.580066
1716026922.999761,890.721701,492.654358,1.608315
1716026923.199779,890.610122,493.401146,1.583889
1716026923.399741,890.556704,494.145570,1.544787
1716026923.599694,890.531125,494.983128,1.595935
1716026923.799633,890.521936,495.648943,1.585209
1716026923.999654,890.566254,496.329776,1.585020
1716026924.199684,890.511817,497.128176,1.595500
1716026924.399724,890.543431,497.876403,1.587633
1716026924.499755,890.605341,498.141593,1.583230
1716026924.699745,890.514111,498.946221,1.558997
1716026924.899702,890.587235,499.838596,1.581543
1716026925.099674,890.591525,500.484968,1.604569
1716026925.299650,890.548039,501.233849,1.595288
1716026925.499642,890.540602,501.948417,1.581875
1716026925.699697,890.571806,502.702344,1.584990
1716026925.899748,890.538036,503.396089,1.590375
1716026926.099741,890.525344,503.918555,1.576074
1716026926.299736,890.483925,504.547902,1.587741
1716026926.499730,890.453789,505.145678,1.589769
1716026926.599724,890.479816,505.461399,1.615838
1716026926.799718,890.519491,505.974706,1.616380
1716026926.999723,890.453500,506.593401,1.620382
1716026927.199705,890.456767,506.969394,1.598930
1716026927.399696,890.515546,507.269612,1.580257
1716026927.599686,890.511949,507.367923,1.576484
1716026927.799682,890.509443,507.508547,1.584573
1716026927.999713,890.428057,507.707214,1.584908
1716026928.199751,890.531510,507.885818,1.573878
1716026928.399762,890.531607,508.103517,1.575882
1716026928.599740,890.432246,508.248702,1.563892
1716026928.699725,890.395082,508.526814,1.576783
1716026928.899708,890.356609,508.892382,1.573995
1716026929.099716,890.479196,509.288844,1.560411
1716026929.299712,890.482227,509.706967,1.555760
1716026929.499741,890.489581,510.047615,1.543751
1716026929.899722,890.459726,511.097275,1.526106
1716026930.099662,890.435498,511.551127,1.533823
1716026930.299659,890.552044,512.022731,1.493387
1716026930.499647,890.493983,512.431217,1.498020
1716026930.699642,890.521429,512.878154,1.426723
